,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
0,190326475,2020-03-01,2130,7,Wilshire,510,VEHICLE - STOLEN,0,M,1900 S  LONGWOOD                     AV,34.0375,-118.3506
1,200106753,2020-02-08,1800,1,Central,330,BURGLARY FROM VEHICLE,47,M,1000 S  FLOWER                       ST,34.0444,-118.2628
2,200320258,2020-11-04,1700,3,Southwest,480,BIKE - STOLEN,19,X,1400 W  37TH                         ST,34.021,-118.3002
3,200907217,2020-03-10,2037,9,Van Nuys,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),19,M,14000    RIVERSIDE                    DR,34.1576,-118.4387
4,220614831,2020-08-17,1200,6,Hollywood,354,THEFT OF IDENTITY,28,M,1900    TRANSIENT,34.0944,-118.3277
5,231808869,2020-12-01,2300,18,Southeast,354,THEFT OF IDENTITY,41,M,9900    COMPTON                      AV,33.9467,-118.2463
6,230110144,2020-07-03,900,1,Central,354,THEFT OF IDENTITY,25,M,1100 S  GRAND                        AV,34.0415,-118.262
7,220314085,2020-05-12,1110,3,Southwest,354,THEFT OF IDENTITY,27,F,2500 S  SYCAMORE                     AV,34.0335,-118.3537
8,231309864,2020-12-09,1400,13,Newton,354,THEFT OF IDENTITY,24,F,1300 E  57TH                         ST,33.9911,-118.2521
9,211904005,2020-12-31,1220,19,Mission,624,BATTERY - SIMPLE ASSAULT,26,M,9000    CEDROS                       AV,34.2336,-118.4535
10,221804943,2020-07-01,1335,18,Southeast,354,THEFT OF IDENTITY,26,M,100 W  COLDEN                       AV,33.9492,-118.2739
11,221908151,2020-10-01,1,19,Mission,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,8,F,13400    RANGOON                      ST,34.2285,-118.4258
12,230204214,2020-02-01,800,2,Rampart,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,F,900 N  MARIPOSA                     AV,34.0868,-118.2991
13,221008844,2020-11-01,130,10,West Valley,510,VEHICLE - STOLEN,0,nan,VALJEAN                      ST,34.1939,-118.4859
